rank,id_boleto,risk_score_heuristico,risk_level,statistical_score,statistical_level,score_consolidado,amount,delay_days,payer_uf,beneficiary_uf,tipo_especie,baixa_missing,z_payer,z_beneficiary,z_combined,motivo_estatistico,motivos_heuristicos
3747,28049dcf23cd9377cad0db4486293bcb5d6aecd3221cba11e2a5281f494ced94,24.0,baixo,0.0,comportamento normal,16.8,1628.33,-8,SP,SP,DMI DUPLICATA MERCANTIL INDICACAO,nao,,,0.0,historico insuficiente para teste estatistico,pagador com baixa liquidez; score de quantidade intermediario; indicador de inadimplencia elevado
3748,290d77e83c302242ebed4c03069da00bbcffdcc453e7919b0a07d657e9196ab4,24.0,baixo,0.0,comportamento normal,16.8,5936.63,0,SP,SP,DM DUPLICATA MERCANTIL,nao,,,0.0,historico insuficiente para teste estatistico,pagador com baixa liquidez; score de quantidade intermediario; indicador de inadimplencia elevado
3749,679c78008a2239ac8c0bf890d65b487d6856d10d133775df58e842124b32125f,24.0,baixo,0.0,comportamento normal,16.8,1333.67,3,MG,,DM DUPLICATA MERCANTIL,nao,,,0.0,historico insuficiente para teste estatistico,pagamento com atraso de 3 dias; pagador com liquidez moderada; beneficiario com baixa liquidez; score de quantidade baixo; indicador de inadimplencia moderado
3750,f66b62aff534c32f79661bf589a927608e3050c861dee5c1f6945b66bcc624ff,24.0,baixo,0.0,comportamento normal,16.8,435000.00,0,GO,GO,DM DUPLICATA MERCANTIL,nao,,,0.0,historico insuficiente para teste estatistico,valor nominal entre os 5% maiores da base; pagador com baixa liquidez
3751,82a5429e75ce5076bd62df22317198241d987f4326b00a6ac16f40c4e9c6acda,22.0,baixo,4.68,comportamento normal,16.8,4839.79,0,PR,RS,DM DUPLICATA MERCANTIL,nao,,-0.187,0.187,valor 0.19 desvios abaixo da media do beneficiario,beneficiario com alta concentracao operacional; beneficiario com baixa liquidez; indicador de inadimplencia elevado
3752,89ab7b40ebfcedaff1009f00aed3bc34465548280fdf69252ac3c93c4740ba49,21.67,baixo,5.45,comportamento normal,16.8,348.32,2,CE,RJ,DM DUPLICATA MERCANTIL,nao,,-0.218,0.218,valor 0.22 desvios abaixo da media do beneficiario,pagamento com atraso de 2 dias; beneficiario com alta concentracao operacional; historico de atraso moderado; indicador de inadimplencia elevado
3753,35b5f364ffb22484e41647a2d85f443851f0857fa410d89a394c01f52464c799,17.0,baixo,16.33,comportamento normal,16.8,336.24,0,PA,SC,DM DUPLICATA MERCANTIL,nao,,-0.6534,0.6534,valor 0.65 desvios abaixo da media do beneficiario,beneficiario com alta concentracao operacional; beneficiario com baixa liquidez; historico de atraso moderado
3754,3b284461771cd09cfd33f9792a5b8e4ae404d9f73a3203f81cdb4b1b27562fe1,22.67,baixo,3.08,comportamento normal,16.79,3806.40,2,RS,,DM DUPLICATA MERCANTIL,nao,,0.123,0.123,valor 0.12 desvios acima da media do beneficiario,pagamento com atraso de 2 dias; beneficiario com alta concentracao operacional; beneficiario com baixa liquidez; indicador de inadimplencia elevado
3755,9b7a949866c7c1817041235f0456e6cc9c87b174bc543ca0e7f09c9a57b861b1,20.0,baixo,9.29,comportamento normal,16.79,24084.53,0,SP,RJ,DM DUPLICATA MERCANTIL,nao,,0.3718,0.3718,valor 0.37 desvios acima da media do beneficiario,beneficiario com alta concentracao operacional; pagador com liquidez moderada; historico de atraso moderado; indicador de inadimplencia moderado
3756,7409b9a978ccf059c68841c2317a3196adfd8d405854fa83825f1e0c8e16bd5d,19.0,baixo,11.63,comportamento normal,16.79,3338.30,-3,RS,SC,DM DUPLICATA MERCANTIL,nao,-0.2482,-0.4651,0.4651,valor 0.25 desvios abaixo da media do pagador; valor 0.47 desvios abaixo da media do beneficiario,pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional; historico de atraso moderado
3757,776a0dbfadeb3f77a33a205632647f08ea2ee095888f5a3f8fe39b380cc4c737,11.0,baixo,30.29,desvio leve,16.79,297.35,0,PR,SC,DM DUPLICATA MERCANTIL,nao,,-1.2118,1.2118,valor 1.21 desvios abaixo da media do beneficiario,beneficiario com alta concentracao operacional; indicador de inadimplencia moderado
3758,2d46b8875df2e130ce8a88e0daa089358f4b7f25e2713beffe262317a7e10122,19.0,baixo,11.61,comportamento normal,16.78,6784.50,0,SP,SC,DM DUPLICATA MERCANTIL,nao,-0.4006,-0.4645,0.4645,valor 0.40 desvios abaixo da media do pagador; valor 0.46 desvios abaixo da media do beneficiario,pagador com recorrencia relevante; beneficiario com alta concentracao operacional; score de quantidade intermediario; indicador de inadimplencia moderado
3759,cd28934f024d143c0f4fdb4aaedf8ceb125e2e56b96b22e7aa46e9001553a051,19.33,baixo,10.8,comportamento normal,16.77,20334.90,1,MG,SP,DM DUPLICATA MERCANTIL,nao,-0.432,-0.2522,0.432,valor 0.43 desvios abaixo da media do pagador; valor 0.25 desvios abaixo da media do beneficiario,pagamento com atraso de 1 dias; pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional; historico de atraso moderado
3760,0795cf8f2836c5d2d210e70c9dce4206b903056bf5f4777586637f60dd3d354e,19.33,baixo,10.81,comportamento normal,16.77,8446.40,1,SP,SC,DM DUPLICATA MERCANTIL,nao,-0.1674,-0.4326,0.4326,valor 0.17 desvios abaixo da media do pagador; valor 0.43 desvios abaixo da media do beneficiario,pagamento com atraso de 1 dias; pagador com recorrencia relevante; beneficiario com alta concentracao operacional; score de quantidade intermediario; indicador de inadimplencia moderado
3761,a90981d835cd5c9e69215c6f3a8b3fe63c027b0d3107fde0fccf280d33d95d87,19.0,baixo,11.55,comportamento normal,16.77,3291.79,-3,SP,SP,DM DUPLICATA MERCANTIL,nao,-0.0614,0.462,0.462,valor 0.06 desvios abaixo da media do pagador; valor 0.46 desvios acima da media do beneficiario,pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional; historico de atraso moderado
3762,00aeaeb75551a4f757636fc83a5ad6ab7371eca43504c086b47beb6be323c673,19.0,baixo,11.55,comportamento normal,16.77,3291.79,0,SP,SP,DM DUPLICATA MERCANTIL,nao,-0.0614,0.462,0.462,valor 0.06 desvios abaixo da media do pagador; valor 0.46 desvios acima da media do beneficiario,pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional; historico de atraso moderado
3763,68e1f10719614263a2729081ac4208771e0c2444a76446167834fcc2105c4bc0,11.0,baixo,30.24,desvio leve,16.77,571.97,0,SP,SP,DM DUPLICATA MERCANTIL,nao,-0.988,-1.2096,1.2096,valor 0.99 desvios abaixo da media do pagador; valor 1.21 desvios abaixo da media do beneficiario,beneficiario com alta concentracao operacional; indicador de inadimplencia moderado
3764,05f18533394c4a65c2e6f53a52029f908ea09aa89e683b0216b6cc61a639b90c,22.0,baixo,4.55,comportamento normal,16.76,102998.28,0,SP,SP,DMI DUPLICATA MERCANTIL INDICACAO,nao,-0.1821,-0.133,0.1821,valor 0.18 desvios abaixo da media do pagador; valor 0.13 desvios abaixo da media do beneficiario,valor nominal elevado; pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional
3765,6858e2c8f551c5780f981702dfdaa6b7147d6d326e2c96e3ee95775733802c4c,12.0,baixo,27.88,desvio leve,16.76,1040.00,3,SC,,DM DUPLICATA MERCANTIL,nao,,-1.1151,1.1151,valor 1.12 desvios abaixo da media do beneficiario,pagamento com atraso de 3 dias; beneficiario com alta concentracao operacional; historico de atraso moderado
3766,365f48853abe77df6d4c589a434148346e8f31388109a5c0e114399d529e3980,19.0,baixo,11.46,comportamento normal,16.74,2571.12,0,RS,RS,DM DUPLICATA MERCANTIL,nao,-0.4583,-0.1053,0.4583,valor 0.46 desvios abaixo da media do pagador; valor 0.11 desvios abaixo da media do beneficiario,pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional; historico de atraso moderado
3767,9332946d5a6cc628f2f5dd89b992cf45771a64d2bb3f448372bafcd32aae60ce,15.33,baixo,20.04,comportamento normal,16.74,624.12,1,PA,PR,DM DUPLICATA MERCANTIL,nao,,0.8014,0.8014,valor 0.80 desvios acima da media do beneficiario,pagamento com atraso de 1 dias; pagador com baixa liquidez; historico de atraso moderado
3768,f94d10307351c38e8741109f0374accef4de227d0b8bddf03d785d11a985a2f4,11.0,baixo,30.14,desvio leve,16.74,6293.00,0,RS,RS,DM DUPLICATA MERCANTIL,nao,,1.2054,1.2054,valor 1.21 desvios acima da media do beneficiario,beneficiario com alta concentracao operacional; historico de atraso moderado
3769,34ac2b7f65c30ed828abd6dd1f4e38f9f24f4941872e186240b84618aecb4517,19.0,baixo,11.45,comportamento normal,16.73,2575.52,0,RS,RS,DM DUPLICATA MERCANTIL,nao,-0.4582,-0.1032,0.4582,valor 0.46 desvios abaixo da media do pagador; valor 0.10 desvios abaixo da media do beneficiario,pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional; historico de atraso moderado
